REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
CENTRAL,DES MOINES IA,,DM03622A,CTI Towers 21148,Rhett Kieler (RKieler1),Guyed Tower,ON-AIR,2026-03-19,34156099,200.0,1.0,,,Yes,Cam Lock,50.0,No,4970,,4970,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NORTHEAST,CONNECTICUT,,CTY4801A,Sacred Heart University,Paul Parana (PParana),In-Building DAS,ON-AIR,2026-03-19,,,,"Access: Normal Business Hours 
Newbridge Wireless LLC	Mark Lininger	703-862-8110	Mark.Lininger@newbridgewireless.com
After Business hours: In order to obtain access to the
Premises during off hours when a representative of Customer is not available, Company shall contact Mike Mannino at _908-358-8792",,,,,,,,,,,No,,,,,,,,,,,,"10 Commerce Way, Norton, MA 02766
Leave at 2:57 PM

Head northeast on Commerce Way toward S Washington St

433 ft
Turn right onto S Washington St

0.3 mi
Road name changes to Boundary Rd

0.2 mi
Turn left onto Industrial Park Rd

0.3 mi
Turn left onto Bay St

0.4 mi
Take the ramp on the left for I-495 North and head toward Mansfield / Marlboro

0.3 mi

Merge onto I-495 N

32.7 mi
At Exit 58, head right on the ramp for I-90 toward Albany / Boston / NY

Toll road

0.4 mi
Keep right, heading toward Boston / Framingham

Toll road

0.2 mi

Keep left, heading toward Albany / NY

Toll road

27.5 mi

At Exit 78, head right on the ramp for I-84 toward Hartford / New York City

Toll road

8.6 mi

Keep straight to stay on I-84 W

Pass Love’s Truck Stop on the right in 9.8 mi

Entering Connecticut

33.1 mi
At Exit 57, bear left onto CT-15 S toward Charter Oak Br / New York City / CT-15 South

1.9 mi

At Exit 86, head right on the ramp for I-91 South toward New Haven / New York City

CT DOT-Newington-HWY-Oper Ctr: construction on I-91 southbound between Exit 20 - Country Club Road (Middletown) and Exit 17 - CT 15 South/Wilbur Cross Parkway (Meriden) There will be lane closures on I-91 Southbound from Exits 20 to 17, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, Monday thru Friday, 06:00 PM thru 06:00 AM All lanes open, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, Monday thru Friday, 09:00 AM thru 03:00 PM All lanes open, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, 08:00 PM thru 11:59 AM All lanes open

17.1 mi
At Exit 17, head right on the ramp for CT-15 South toward Main St

0.3 mi
Keep left to get onto CT-15 South

35.1 mi
At Exit 47, head on the ramp right and follow signs for Park Ave

0.1 mi
At the roundabout, take the 2nd exit for Park Ave

0.5 mi
Turn right

184 ft
Turn left

0.2 mi
Arrive at destination

The last intersection before your destination is Park Ave

B
5151 Park Ave, Fairfield, CT 06825
Arrive by 5:44 PM",,,,,,,,,,,,,,,,No,
CENTRAL,CLEVELAND,,CL56108A,Diamond OH276/Walhounding South,Kenneth Reed (KReed25),Self Support Tower,ON-AIR,2026-03-19,924777532,,,"*********************
Lease Access Details
*********************
This is Diamond site OH276 Walhonding South, and you need to check in and out with them by calling 806-260-3226 Please verify all codes/combos and special instructions to get access. If issue, call NOC to verify info or open ticket. Must provide 24-hour advance notice, if possible, for all maintenance work and all crews must provide a COI.
Get NTP or schedule from Diamond if needing tower climb. Diamond POCs are Jonathan Sequeira, (W) 203-409-1736, (M) 787-638-8885, jsequeira@diamondcomm.com, Paula Cator, 806-224-3708, pcator@diamondcomm.com, Jamie Caracappa, 908-616-4574, jcaracappa@diamondcomm.com and Andrew Sabatino, 913-957-5517, asabatino@diamondcomm.com.

*************************
Additional Access Details
*************************
Standard 24/7 access",,,,,,See Site Access Details - Combo will be provided when requested,24/7 access off the public right of way.,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From CMH:
Take International Gateway to I-670 E in Mifflin Township
Take OH-161 E and US-62 E to OH-229 E in Harrison Township
55 min (45.8 mi)
Turn right onto OH-229 E
8 min (6.7 mi)
Slight right onto US-36 E
3 min (2.0 mi)
33365 US-36
Warsaw, OH 43844",,,,,,,,,,,,,,,,No,
CENTRAL,OKLAHOMA CITY OK,Branch - Alicia,OK01079A,CTI Towers_2712895,Tyson Miller (TMiller155),Monopole,ON-AIR,2026-03-19,,200.0,,No fence installed at this time.  Please email the dates and descriptions of the visit and Jennifer can get you an Entry Authorization jboccella@ctitowers.com.  Requests will need to be sent for site access 72 hours in advance.,,Yes,Cam Lock,30.0,,Email request jboccella@ctitowers.com,,,,,No,,,,,,,,,,,,From Oklahoma City OK switch: Head to I-40 W. Merge onto I-40 W toward Amarillo. Continue on I-40 W for a while until you reach the exit for US-283 N. Take the exit onto US-283 N and follow it through the countryside toward Tyrone. Continue north on US-283 for several miles until you reach Rd C. Turn left onto Rd C and follow it until you reach 5349 Rd C.,,,,,,,,,,,,,,,,No,
NORTHEAST,CONNECTICUT,,CTY3601A,Electric Boat,Rojie Cayabyab (RCayaby8),In-Building BTS,ON-AIR,2026-03-19,,,,"Monday - Friday 6AM - 8pm - Sat/Sunday - must have a badge - Badging - http://swww.gdeb.com/suppliers/8_visiting_eb_contractrs/ 
MJ Kuczma 860-433-8080 or Bob Spencer 860-271-5026",,,,,,,,,,,No,,,,,,,,,,,,"Head southwest toward Taunton Ave
112 ft
Turn right onto Taunton Ave
167 ft
Turn left onto W Main St
135 ft
Turn right onto MA-140 N/Mansfield Ave
Continue to follow MA-140 N
3.0 mi
Turn left onto the MA-140 N/I-495 N ramp to Mansfield/Marlboro
0.5 mi
Merge onto I-495 N via the ramp to Marlboro
0.7 mi
Merge onto I-495 N
1.8 mi
Take exit 33B to merge onto I-95 S toward Providence RI
Passing through Rhode Island
Entering Connecticut
70.5 mi
Take exit 87 on the left for Connecticut 349/Clarence B. Sharp Hwy toward US-1 N
0.4 mi
Continue onto CT-349 S/Clarence B Sharp Hwy
1.5 mi
Turn right onto Rainville Ave
0.4 mi
Continue onto Chester St
413 ft
Turn right onto Eastern Point Rd
Destination will be on the left",,,,,,,,,,,,,,,,No,
SOUTH,ATLANTA,,AT1104BA,AT1104BA,,Monopole,ON-AIR,2026-03-19,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,DENVER CO,,DN1722BA,DN1722BA,Christopher Johnson (CJohnso436),Monopole,ON-AIR,2026-03-19,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST,PORTLAND OR,Tammy Odle,PO06025B,Jackson Park,Dan Markley (DMarkle1),Monopole,ON-AIR,2026-03-19,,200.0,,ATC tower on Hood River Fire Department property and next to their building. 24/7 access with standard ATC codes.,,Yes,Cam Lock,50.0,No,,,,,,Yes,,,,,,,,,,,,"Directions from 830 NE Holladay Street, Portland, Oregon:
Get on I-84 E/US-30 E from NE Lloyd Blvd and NE Irving St
Follow I-84 E to US-30 E in Hood River. Take exit 62 from I-84 E/US-30 E
Follow US-30 E, Rand Rd and May St to Meyer Pkwy",,,,,,,,,,,,,,,,No,
CENTRAL,INDIANAPOLIS IN,Melissa Moreno,MW01502A,Horvath Towers# HV1073 Middletown,,Monopole,ON-AIR,2026-03-19,23 757 269,200.0,,Gate code is 1223.,,Yes,Cam Lock,75.0,No,,,,,,No,,,,,,,,,,,,"Indy Switch: Head south toward Morenci Trail. Turn left onto Morenci Trail, then right onto W 62nd St. Continue for 1.2 miles, then turn right onto Zionsville Rd. After 1 mile, turn left onto W 71st St, then merge onto I-465 N for 0.5 miles. Follow I-465 N for 14.8 miles, then take the exit for Binford Blvd. Keep left and continue for 0.8 miles, merging onto I-69 N for 25.1 miles. Take exit 226 for S Scatterfield Rd, then turn left onto S Scatterfield Rd and continue for 0.7 miles. Turn right onto IN-236 E/E 53rd St and follow it for 6.1 miles. Turn right onto N 8th St, then left onto Fall Creek Dr, where your destination will be on the left in Middletown. Access drive is located on N side of Fall Creek Dr.",,,,,,,,,,,,,,,,No,
NORTHEAST,PHILADELPHIA PA,Matt LoPresti,1BL9914A,Tower North NJ1009 - Vincentown,,Monopole,ON-AIR,2026-03-19,,200.0,,"Access valid as of 3/18/2026 by jplowma2.
Routine maintenance: 24x7
Emergency: 24x7
Use gate on right side of building near the sheds. Combo is 1984. 
Compound combo is also 1984. 


Tower North Site NJ1009-A. 1-800-821-5825x2. 



These didnt work. Combo 2014/2024 - TMO Combo 7007",,Yes,Cam Lock,30.0,No,1984,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
