AVAIL_LOADTIME,SH_KEY,SD_KEY,REGION_ID,MARKET_ID,VENDOR,SITE_ID,PERIOD_START_TIME,NODEB_COUNT,SECTOR_COUNT,CELL_COUNT,PERIOD_DURATION_SUM,PERIOD_DURATION_MIN,PERIOD_DURATION_MAX,TOTAL_TIME,TOTAL_AVAIL_TIME,TOTAL_DOWNTIME,TOTAL_AVAILABILITY_N,TOTAL_AVAILABILITY_D,CELL_POWER_SAVING_SUM,TOTAL_TIME_5G,TOTAL_AVAIL_TIME_5G,TOTAL_DOWNTIME_5G,TOTAL_AVAILABILITY_N_5G,TOTAL_AVAILABILITY_D_5G,TOTAL_TIME_LTE,TOTAL_AVAIL_TIME_LTE,TOTAL_DOWNTIME_LTE,TOTAL_AVAILABILITY_N_LTE,TOTAL_AVAILABILITY_D_LTE,CAT_TABLE_LOADTIME,CAT_PROCESS_TIME,SITE_ID_SUMMARY_CATEGORY,SITE_ID_FOCUS_CATEGORY,SITE_ID_DETAIL_CATEGORY,TOP_OVERALL_SCORE,TOP_RECORDID,TOP_OUTAGE_TYPE_NUM,OUTAGE_TYPE,TOP_SOURCE_NAME,TOP_KEYWORD,DESCRIPTION_1,DESCRIPTION_2,DESCRIPTION_3,TOP_DESC_USED,RECORDID_CREATED_LOCAL,RECORDID_RESOLVED_LOCAL,RECORDID_COUNT,ASSOC_RECORDIDS,CATEGORY_COUNT,ASSOC_CATEGORIES,KEYWORD_COUNT,ASSOC_KEYWORDS,ASSOC_SCORES,REC_TABLE_LOADTIME,MB_PRIMARY_AAV_VENDOR_NAME,MB_MKT_AREA,FIELD_OPS_ASSIGNEE,FIELD_OPS_ASSIGNMENT_GROUP,FIELD_OPS_MGR,SITE_LATITUDE,SITE_LONGITUDE,TABLE_LOADTIME,TOP_CATEGORY,MAINT_WNDW,SEVERITY_SCORE_NOADJ,AVG_RRC_CONNECTED_USERS_N,AVG_RRC_CONNECTED_USERS_D,AVG_RRC_CONNECTED_USERS_VALUE,R30D_AVG_CONNECTED_USERS,R30D_HOUR_RANK,OUTAGE_INDEX_GROUP_NUM,OUTAGE_INDEX_DEDUCTION,RF_SOLUTION,TOP_ASSIGNED_GROUP,TOP_MASTER_INCIDENT_ID,_lte_pct,_5g_pct
2026-03-20 10:40:48.274,9AT3045A.202603201100,9AT3045A.20260320,South,Atlanta,Ericsson,9AT3045A,2026-03-20 11:00:00,2,3,27,1620.00,60.00,60.00,97200.00,97200.00,0.00,97200.00,97200.00,0.00,54000.00,54000.00,0.00,54000.00,54000.00,43200.00,43200.00,0.00,43200.00,43200.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,COMCAST,Deep South,Dennis Boyette,S-Deep South-AT-FOPS-Central 2,Charlie Piepho,33.926909000,-84.244104000,2026-03-20 12:55:28.103,,False,,94257.1017,8641.0000,13.0108911755,12.1128533750066,12,1,0.00,Macro,,,100.0,100.0
2026-03-20 02:37:04.071,HN1236BA.202603200300,HN1236BA.20260320,South,Houston,Nokia,HN1236BA,2026-03-20 03:00:00,2,6,24,1440.00,60.00,60.00,86400.00,86400.00,0.00,86400.00,86400.00,0.00,64800.00,64800.00,0.00,64800.00,64800.00,21600.00,21600.00,0.00,21600.00,21600.00,2026-03-20 03:40:58.390,2026-03-20 03:33:10,No Outage,No Outage,No Outage,1212.10,INC124283256,0.00,No Outage,INC_NONEST,Hardware,Hardware,**Pending RF Review** HN1236BA_81LAB L2100 & L1900 showing Off-Air in Progress,,DESC_1,2026-02-12 10:15:05.000,2099-01-01 00:00:00.000,1.0,INC124283256,1.0,Hardware,1.0,Hardware,1212.10,2026-03-20 03:33:26.667,,Texas,Brian Vessells,S-Texas-HN-FOPS-West,Scott Spicer,29.792900000,-95.533030000,2026-03-20 05:26:01.780,Hardware,True,200.0,50.5797,9.0000,6.8296834722,6.7200355269133,23,0,0.00,Micro,PIER_S-Texas-HN-RF-Engineering,,100.0,100.0
2026-03-20 02:37:04.071,CH28549A.202603200300,CH28549A.20260320,Central,Chicago,Nokia,CH28549A,2026-03-20 03:00:00,2,3,30,1800.00,60.00,60.00,108000.00,108000.00,0.00,108000.00,108000.00,7200.00,64800.00,64800.00,0.00,64800.00,64800.00,43200.00,43200.00,0.00,43200.00,43200.00,2026-03-20 03:40:58.390,2026-03-20 03:33:10,No Outage,No Outage,No Outage,1412.10,INC119319533,0.00,No Outage,INC_NONEST,Hardware,HARDWARE; Router,CH28549A::CH28549A PSU 2 is NOT EQUIPPED - Router operating on single PSU. Action required to ensure full power redundancy | CSR IP: 11.58.169.28,,DESC_1,2025-09-09 17:26:27.000,2099-01-01 00:00:00.000,1.0,INC119319533,1.0,Hardware,1.0,Hardware,1412.10,2026-03-20 03:33:26.667,AT&T,Great Lakes,Steve Davlantis,C-GreatLakes-CH-Ops-FieldSupportTeamEast,Rodolfo Soto,41.682068000,-86.897523000,2026-03-20 05:26:01.780,Hardware,True,400.0,66.3020,16.0000,5.1686170486,5.5724888724900,23,0,0.00,Macro,C-GreatLakes-CH-Ops-FieldSupportTeamEast,,100.0,100.0
2026-03-20 01:37:04.978,DA01045A.202603200100,DA01045A.20260320,South,Dallas,Nokia,DA01045A,2026-03-20 01:00:00,2,4,27,1620.00,60.00,60.00,97200.00,97200.00,0.00,97200.00,97200.00,0.00,46800.00,46800.00,0.00,46800.00,46800.00,50400.00,50400.00,0.00,50400.00,50400.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,AT&T,Texas,Peter Lee,S-Texas-DA-FOPS-CORE 1,David Hay,32.887694000,-96.701917000,2026-03-20 03:45:41.179,,True,,55.9363,19.0000,4.2279173977,3.7797695167699,21,0,0.00,Macro,,,100.0,100.0
2026-03-20 00:37:04.497,NE0821BA.202603200200,NE0821BA.20260320,Northeast,New England,Ericsson,NE0821BA,2026-03-20 02:00:00,1,3,12,720.00,60.00,60.00,43200.00,43200.00,0.00,43200.00,43200.00,0.00,,,,,,43200.00,43200.00,0.00,43200.00,43200.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,,NER North,Jesus Delgado,N-NER North-NE-FOPS-Cape,David Bouley,41.846314000,-71.437341000,2026-03-20 03:45:41.179,,True,,33116.0000,8640.0000,3.8328703704,3.9999048024600,20,0,0.00,Micro,,,100.0,
2026-03-20 03:37:04.926,HN2081BA.202603200300,HN2081BA.20260320,South,Houston,Nokia,HN2081BA,2026-03-20 03:00:00,2,4,12,720.00,60.00,60.00,43200.00,43200.00,0.00,43200.00,43200.00,0.00,14400.00,14400.00,0.00,14400.00,14400.00,28800.00,28800.00,0.00,28800.00,28800.00,2026-03-20 05:54:04.087,2026-03-20 05:48:15,No Outage,No Outage,No Outage,1312.10,CHG022119436,0.00,No Outage,CHG_NESTED,troubleshoot,MW][NEST TREQUEST][SI][HOUSTON][26R1][Base SW][Houston][CHG022119436] Troubleshooting: Perform steps to fix corrupted RFSW image at 2 sites - MW 03/20, [26R1] [BSW FOA] [Houston] 2 Sites SI,"To fix the corrupted RFSW image on AWHHF to allow RU to run 26R1 BTS SW during MW tonight. Site & AWHHF Radio: For site NHN2081BA, AWHHF (475181A 103; S/N:EB2101R0444)For site NHN1313BA, AWHHF (475181A 103; S/N:EB2115R0029)",DESC_1,2026-03-19 23:55:50.633,2026-03-20 05:55:50.633,1.0,CHG022119436,1.0,Hardware,1.0,troubleshoot,1312.10,2026-03-20 05:51:12.800,,Texas,Cliff Warren,S-Texas-HN-FOPS-West,Scott Spicer,29.690639500,-95.572570500,2026-03-20 07:26:31.801,Hardware,True,400.0,27.2037,13.0000,2.6828606597,3.1351136377399,22,0,0.00,Micro,,,100.0,100.0
2026-03-20 03:37:04.926,1ME6590F.202603200400,1ME6590F.20260320,Northeast,Philadelphia,Ericsson,1ME6590F,2026-03-20 04:00:00,3,4,23,1380.00,60.00,60.00,82800.00,82800.00,0.00,82800.00,82800.00,0.00,43200.00,43200.00,0.00,43200.00,43200.00,39600.00,39600.00,0.00,39600.00,39600.00,2026-03-20 03:40:58.390,2026-03-20 03:33:10,No Outage,No Outage,No Outage,5499.10,INC123774257,0.00,No Outage,INC_NONEST,,,GC will remove/replace faulty Lithium-ion batteries.,,,2026-01-28 09:17:02.000,2099-01-01 00:00:00.000,1.0,INC123774257,1.0,Uncategorized,0.0,,5499.10,2026-03-20 03:33:26.667,Crown Castle,Mid Atlantic,Steve Paull,N-Mid Atlantic-PH-FOPS-MDA2_SNJ,Dan Pitre,40.240608000,-74.755967000,2026-03-20 05:55:33.712,Uncategorized,True,400.0,126859.6390,7921.0000,18.6563464785,18.4279450007299,24,0,0.00,Macro,PIER_Ericsson_GenTrac,,100.0,100.0
2026-03-20 02:37:04.071,AR01576A.202603200300,AR01576A.20260320,Central,Arkansas,Nokia,AR01576A,2026-03-20 03:00:00,2,3,24,1440.00,60.00,60.00,86400.00,64800.00,0.00,86400.00,86400.00,21600.00,54000.00,32400.00,0.00,54000.00,54000.00,32400.00,32400.00,0.00,32400.00,32400.00,2026-03-20 09:24:19.780,2026-03-20 09:18:15,No Outage,No Outage,No Outage,1306.20,CHG022075744,0.00,No Outage,CHG_NESTED,Rehome,TAC_Change_W6_ARKANSAS,ARKANSAS NEW TAC FOR MSO UPLIFT REHOME - BATCH 1B,NEW TAC FOR MSO UPLIFT REHOME FOR CAPACITY,DESC_2,2026-03-19 23:25:28.860,2026-03-20 05:23:40.277,1.0,CHG022075744,1.0,Internal Transport Upgrades,1.0,Rehome,1306.20,2026-03-20 09:21:21.341,COX COMMUNICATIONS,Heartland,Eddie Popovits,C-Heartland-AR-FOPS,Shawn Lay,35.962778000,-94.430100000,2026-03-20 11:26:21.666,Internal Transport Upgrades,True,300.0,51.3568,13.0000,5.0651034814,5.3606517028566,22,0,0.00,Macro,,,100.0,60.0
2026-03-20 11:37:04.325,BX02003C.202603201300,BX02003C.20260320,Northeast,New York,Ericsson,BX02003C,2026-03-20 13:00:00,3,6,30,1800.00,60.00,60.00,108000.00,108000.00,0.00,108000.00,108000.00,0.00,54000.00,54000.00,0.00,54000.00,54000.00,54000.00,54000.00,0.00,54000.00,54000.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,VERIZON,New York Metro,Jacinto Ramirez,N-New York Metro-NY-FOPS-Manhattan,Jean Denis,40.816813000,-73.919758000,2026-03-20 12:55:28.103,,False,,429482.1317,10801.0000,49.8976739578,45.8621911407066,3,2,0.00,Macro,,,100.0,100.0
2026-03-20 07:37:04.198,9LV0220A.202603200800,9LV0220A.20260320,Central,Louisville,Nokia,9LV0220A,2026-03-20 08:00:00,2,3,27,1620.00,60.00,60.00,97200.00,97200.00,0.00,97200.00,97200.00,0.00,64800.00,64800.00,0.00,64800.00,64800.00,32400.00,32400.00,0.00,32400.00,32400.00,,,No Outage,No Outage,No Outage,,,0.00,No Outage,,,,,,,,,,,,,,,,,TIME WARNER CABLE,Appalachian,Jeff Matthews,C-Appalachian-LU-FieldSupportTeam-WestEast,Christopher Hayes,38.118319000,-84.519719000,2026-03-20 09:55:55.104,,False,,134.0450,13.0000,12.3575110763,10.2461534483699,10,1,0.00,Macro,,,100.0,100.0
